composite_ID,TC_RFR-N-OBJ1,TC_RFR-N-OBJ2,TC_RFR-N-OBJ3,TC_RFR-N-OBJ4,TC_RFR-N-STRA,TC_RFR-N-PORT,TC_RFR-N-LAND,TC_IFR-N-i1,TC_IFR-N-i2,TC_IFR-N-i3,TC_IFR-N-i4,TC_IFR-N-i5,TC_IFR-N-i6,TC_RFR-O-RORD,TC_RFR-O-TMOD,TC_RFR-N-WEAT,TC_RFR-L-OBJ1,TC_RFR-L-OBJ2,TC_RFR-L-OBJ3,TC_RFR-L-OBJ4,TC_RFR-L-DOOR,TC_RFR-L-WIND,TC_RFR-L-PORT,TC_RFR-L-LAND,TC_RFR-L-STRA,TC_IFR-U-i1,TC_IFR-U-i2,TC_IFR-U-i3,TC_IFR-U-i4,TC_IFR-U-i5,TC_IFR-U-i6,TC_IFR-D-i1,TC_IFR-D-i2,TC_IFR-D-i3,TC_IFR-D-i4,TC_IFR-D-i5,TC_IFR-D-i6,TC_IFR-O-i1,TC_IFR-O-i2,TC_IFR-O-i3,TC_IFR-O-i4,TC_IFR-O-i5,TC_IFR-O-i6,TC_TCR-O-TSK1,TC_TCR-O-TSK2,TC_TCR-O-TSK3,TC_TCR-O-TSK4,TC_TCR-O-TSK5,TC_TCR-O-TSK6,TC_ICR-N-i1,TC_ICR-N-i2,TC_ICR-N-i3,TC_ICR-N-i4,TC_ICR-N-i5,TC_ICR-N-i6,TC_ICR-U-i1,TC_ICR-U-i2,TC_ICR-U-i3,TC_ICR-U-i4,TC_ICR-U-i5,TC_ICR-U-i6,TC_ICR-D-i1,TC_ICR-D-i2,TC_ICR-D-i3,TC_ICR-D-i4,TC_ICR-D-i5,TC_ICR-D-i6,TC_ICR-O-i1,TC_ICR-O-i2,TC_ICR-O-i3,TC_ICR-O-i4,TC_ICR-O-i5,TC_ICR-O-i6,TC_RRE-L-DOOR,TC_RRE-L-WIND,TC_RRE-N-LAND,TC_RRE-L-LAND,TC_RRE-N-PORT,TC_RRE-L-PORT,TC_RRE-N-STRA,TC_RRE-L-STRA,TC_IRE-N-i1,TC_IRE-N-i2,TC_IRE-N-i3,TC_IRE-N-i4,TC_IRE-N-i5,TC_IRE-N-i6,TC_IRE-U-i1,TC_IRE-U-i2,TC_IRE-U-i3,TC_IRE-U-i4,TC_IRE-U-i5,TC_IRE-U-i6,TC_IRE-D-i1,TC_IRE-D-i2,TC_IRE-D-i3,TC_IRE-D-i4,TC_IRE-D-i5,TC_IRE-D-i6,TC_IRE-O-i1,TC_IRE-O-i2,TC_IRE-O-i3,TC_IRE-O-i4,TC_IRE-O-i5,TC_IRE-O-i6
A023_3,3,4,3,3,4,4,4.0,3,0,2,2,0,2,4,3,2,3,3,4,4,2,3,4,4,4,3,3,2,2,0,0,2,4,2,2,0,0,2,2,2,2,0,0,1,1,2,2,2,4,4,4,4,4,4,4,3,2,4,4,4,2,3,2,3,2,1,2,1,1,1,4,1,1,1.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,4,4,4,4,4,4,2,2,4,4,4,2,1,2,2,3,2,2,2,1,2,3,2,1
A023_4,4,4,4,1,4,4,2.0,4,2,4,1,0,0,4,2,2,4,4,4,4,4,3,4,2,4,4,2,4,1,0,0,2,2,4,2,0,0,2,1,2,0,0,0,1,2,1,1,1,4,4,4,4,4,4,4,4,3,4,2,3,2,1,4,4,1,3,1,2,2,4,1,1,0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4,4,4,4,3,4,4,3,4,2,1,4,2,2,4,2,1,1,2,1,3,0,1,0
A024_1,3,4,4,3,4,4,1.0,4,4,4,0,0,0,4,4,3,4,4,4,4,2,4,2,4,4,3,4,4,0,0,0,1,4,2,0,0,0,0,1,1,0,0,0,3,2,2,2,3,4,4,0,4,4,2,1,4,0,4,4,2,1,1,0,2,1,1,1,1,0,1,4,1,1,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4,4,4,4,3,4,4,4,4,4,1,3,2,2,2,3,1,1,1,1,1,4,1,1
A024_2,2,1,3,2,4,1,1.0,0,4,4,0,3,0,4,2,4,2,4,1,4,1,3,1,1,4,0,4,2,0,4,0,0,2,1,1,0,0,0,3,1,0,0,0,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,3,4,4,4,4,4,4,4,4,1,4,4,1,1,1,1,0,1,1,1,1,0,0,0
A024_3,4,3,2,4,4,2,2.0,4,2,1,4,4,1,4,4,4,4,4,2,4,1,4,2,1,4,4,4,2,2,1,1,1,1,1,2,0,1,0,1,0,0,0,1,3,2,3,2,3,4,3,4,4,4,4,4,2,3,4,4,0,1,1,1,4,1,3,4,1,1,1,0,1,1,1.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,4,4,4,4,4,4,3,2,4,4,1,3,1,0,4,3,1,1,1,0,0,0,0,0
A024_4,4,4,1,4,4,3,1.0,3,0,4,4,0,1,4,3,4,4,4,1,4,4,4,3,1,4,2,0,3,2,0,1,3,0,4,2,0,2,0,0,1,0,0,1,2,1,1,1,3,4,4,2,4,4,1,1,1,1,3,2,0,1,4,1,4,2,0,0,1,0,1,1,0,0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4,4,3,4,3,4,1,1,2,1,0,0,4,0,4,0,0,0,1,0,1,0,0,0
A025_1,4,2,2,2,3,4,2.0,4,1,4,0,4,0,3,2,1,4,2,4,4,3,2,4,2,4,4,4,4,1,4,4,4,2,0,4,0,0,0,0,0,0,1,0,2,1,1,1,0,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,0,2,1,1,4,1,2,2,2,2,3.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,1,2,3,2,3,2,0,3
A025_2,4,2,2,4,4,2,2.0,4,0,4,2,2,1,3,2,2,4,4,4,4,2,2,4,4,4,4,2,4,1,4,0,1,0,3,1,2,3,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,4,2,0,0,4,1,2,4,1,0,2,0,1,1,2.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,4,4,3,4,3,3,4,4,4,2,4,1,0,1,4,1,1,4,0,0,1,0,0,0
A025_3,2,2,1,2,3,2,1.0,0,2,0,3,0,0,3,3,3,4,4,3,4,2,3,1,0,4,4,4,4,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,2,2,2,1,1,4,2,2,3,4,1,4,0,4,2,4,1,3,0,1,1,3,1,1,0,0,0,1,0,0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,4,4,3,4,1,2,3,4,4,4,1,4,2,1,1,3,0,2,1,0,0,1,0,1
A025_4,0,1,1,0,0,0,0.0,0,0,0,0,0,0,1,0,1,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4,2,4,3,4,2,2,4,2,2,1,0,0,0,1,0,2,0,0,0,1,0,0,0
A026_1,4,3,2,3,4,4,1.0,1,0,2,4,1,1,4,2,4,2,4,4,4,2,1,4,0,4,4,3,0,0,0,0,0,2,4,4,4,0,4,1,0,0,0,0,2,4,3,3,2,4,3,4,4,4,4,4,3,3,4,2,0,4,3,3,4,2,0,0,1,0,2,4,0,0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,2,4,2,2,4,2,4,3,1,0,4,4,0,0
A026_2,4,4,4,4,4,2,2.0,1,4,4,1,4,1,4,1,1,4,4,4,4,0,2,0,0,4,0,1,4,1,4,0,4,4,0,0,1,0,1,0,0,0,0,0,3,4,4,2,3,4,4,4,4,4,4,4,1,2,4,2,4,0,3,4,4,2,1,0,0,0,0,0,0,0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,4,4,3,4,4,4,1,3,4,3,4,2,3,4,2,2,1,0,0,0,0,1,0,0
A026_3,4,4,4,3,4,2,2.0,4,4,4,2,0,4,4,3,2,4,4,4,4,4,3,2,2,4,4,4,2,2,3,1,1,2,4,2,2,0,0,0,0,0,0,0,3,4,2,3,2,4,1,4,4,4,4,4,0,4,2,3,3,3,0,1,3,3,2,2,0,1,0,0,0,0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,4.0,4,4,4,4,4,4,1,4,2,4,4,4,4,1,4,2,3,2,0,0,0,0,0,0
A026_4,3,3,4,2,4,3,4.0,1,4,4,0,4,0,4,3,3,4,4,4,4,2,3,3,2,4,4,4,3,3,0,0,2,4,2,3,3,3,3,3,0,0,0,0,3,4,3,2,2,4,2,4,4,4,4,1,0,4,4,2,4,0,4,4,2,3,2,2,0,1,0,0,0,0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4,4,4,4,4,4,0,4,4,1,4,1,3,3,1,4,2,4,0,0,0,0,0,0
A027_1,4,4,4,4,4,4,2.0,4,0,0,2,4,0,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,0,0,4,1,4,0,0,0,1,3,4,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,3,4,3,4,4,4,2,3,3,4,4,1,0,0,0,1,2,0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,2,4,4,4,2,4,3,4,1,1,0,0,0,0,1,1
A027_2,4,3,3,4,4,3,2.0,4,0,4,4,0,4,3,2,2,4,4,4,4,2,2,3,3,4,4,0,4,2,0,2,2,0,4,4,0,4,0,0,1,0,0,0,2,2,2,3,3,4,4,4,4,4,3,4,4,3,4,2,3,3,1,3,4,3,0,4,0,0,1,0,0,0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4,4,4,4,3,4,4,1,4,4,2,3,3,3,4,4,1,4,0,0,1,0,0,0
A027_3,3,2,0,2,2,2,2.0,1,4,3,2,2,0,2,1,2,4,3,4,0,2,2,2,2,1,4,1,1,0,2,0,3,2,3,1,2,0,0,0,0,0,1,0,1,2,2,1,1,4,3,4,3,4,2,1,1,4,1,3,1,0,2,3,2,1,2,0,0,1,0,1,0,0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4,4,3,3,4,3,2,4,2,2,2,3,2,2,2,1,1,1,0,0,0,0,0,0
A027_4,3,3,0,2,0,0,1.0,0,0,0,2,0,0,2,3,3,3,3,1,0,2,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,4,2,3,3,4,2,2,1,1,1,3,1,0,2,1,2,2,1,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3,4,4,4,3,3,0,2,0,4,0,0,3,2,2,0,2,1,0,0,0,0,0,0
A028_1,4,4,4,4,4,4,3.0,4,4,4,4,4,4,4,2,4,4,4,4,4,1,2,1,2,4,4,1,4,3,4,1,1,4,4,2,4,4,1,4,4,1,1,1,4,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,2,0,4,4,1,0,4,0,4,4,1,0,1,2.0,0.0,4.0,1.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,1,4,1,4,1,1,4,4,1,4,4,1,4,4,1,1,1
A028_2,4,4,4,4,4,4,4.0,4,4,0,2,1,4,4,4,2,4,4,4,4,2,2,0,0,4,4,4,1,1,1,0,4,1,4,4,1,0,4,2,1,1,1,0,0,0,2,2,4,4,4,4,4,2,4,4,4,4,4,1,2,4,4,1,1,1,3,4,1,0,0,0,1,1,1.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,4,4,4,4,4,4,1,4,4,2,1,4,4,1,2,1,2,4,1,0,0,1,1,1
A028_3,4,3,1,0,4,2,1.0,4,0,1,0,0,4,4,1,2,2,4,2,0,1,1,1,1,4,4,4,1,0,0,0,1,1,4,4,0,0,0,1,1,0,0,0,1,1,1,1,1,4,4,4,4,4,4,4,1,1,3,1,1,4,2,1,1,1,0,1,0,1,0,1,0,0,0.0,0.0,2.0,1.0,4.0,0.0,4.0,4.0,4,4,4,4,4,4,4,1,3,1,2,4,0,1,1,1,1,1,0,0,1,0,1,0
A028_4,4,3,4,3,4,2,2.0,2,4,2,2,0,0,3,4,4,4,4,4,4,1,1,1,1,4,0,1,1,1,0,0,3,2,1,1,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,4,4,4,4,4,1,2,1,1,1,1,3,1,1,1,1,1,0,0,1,1,0,0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,4,4,4,4,2,4,1,1,1,1,1,1,1,1,0,4,1,1,1,1,1,1,1,1
A029_1,4,4,4,4,4,2,2.0,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,1,4,4,4,4,4,4,4,4,2,4,4,1,1,1,1,1,1,1,1,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,2,2,2,2,2,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,2,1,2,2,1,1
A029_2,4,4,4,4,1,2,1.0,4,2,4,2,4,4,2,4,4,4,4,4,4,3,2,2,1,1,1,4,4,4,4,2,1,2,2,3,1,2,1,4,1,1,1,2,3,3,3,3,3,4,4,4,4,4,4,4,2,4,4,4,4,4,2,1,1,4,1,3,2,1,1,4,1,2,4.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,2,4,1,1,1,4,1,1
A029_3,4,3,2,2,4,2,2.0,1,4,4,4,4,1,3,2,2,4,4,4,4,2,2,1,1,4,1,4,4,4,1,0,4,1,1,1,0,0,1,1,1,3,1,1,2,2,3,2,2,4,4,4,4,4,4,4,4,4,3,4,4,4,1,1,4,1,1,1,1,1,3,1,2,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4,4,4,4,4,4,3,4,3,4,4,4,1,2,4,1,2,1,1,1,1,1,1,1
A029_4,4,4,4,4,4,4,4.0,4,1,4,4,4,0,4,2,2,4,4,4,4,4,3,3,3,4,4,0,4,3,1,0,0,2,1,2,4,2,1,0,1,1,0,0,3,3,3,3,2,4,4,4,4,4,4,4,4,1,4,4,1,1,1,3,2,3,4,3,1,1,2,2,1,1,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4,4,4,4,2,3,4,1,4,4,1,1,1,3,2,2,4,1,1,1,4,1,1,1
A030_1,4,4,3,4,3,1,4.0,0,0,0,4,4,0,2,1,1,4,4,4,4,1,2,1,2,4,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,2,2,2,4,4,3,1,4,4,4,4,2,2,4,4,4,4,2,2,0,1,1,1,1,1,1,1,3,1,2.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,2,4,4,4,4,4,2,4,2,4,4,3,1,2,2,2,1,2,0,1,1,1,3,2
A030_2,3,3,3,3,4,3,3.0,4,2,1,4,2,4,4,2,2,4,4,4,4,1,1,4,1,4,4,4,4,4,4,1,1,0,2,2,2,2,1,4,0,0,0,0,2,4,2,2,2,4,4,4,4,4,1,4,4,2,4,4,1,4,1,2,2,0,1,3,0,0,2,4,0,4,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4,4,4,4,4,4,4,4,4,4,2,4,0,3,2,2,2,4,0,0,3,4,0,1
A030_3,4,2,4,4,4,1,1.0,4,0,4,0,0,0,3,1,1,4,4,4,4,2,1,1,1,4,4,0,4,2,0,1,1,0,1,4,0,4,2,0,0,0,0,0,2,1,1,2,3,4,4,1,4,4,2,4,4,0,4,3,1,2,1,0,1,1,3,1,3,0,0,0,0,0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,4.0,4,4,4,4,4,4,4,2,3,2,1,2,1,2,1,1,3,1,2,0,2,0,0,0
A030_4,3,1,4,2,1,0,1.0,2,4,4,0,1,1,2,1,1,4,4,4,4,3,3,1,1,1,4,4,4,4,3,0,1,1,0,0,1,2,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,2,4,4,4,4,4,2,4,4,1,1,1,1,1,0,0,1,0,0,0,0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,4,4,2,4,4,3,4,4,4,1,4,4,0,1,2,1,1,1,0,1,1,1,2,1
A031_1,4,4,4,4,4,4,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,2,1,3,2,4,2,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,2,4,4,4,4,4,1,2,4,3,1,1,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4,4,4,4,3,4,4,4,3,4,4,3,2,4,4,4,4,4,2,2,3,2,2,2
A031_2,4,4,4,2,4,4,4.0,4,0,4,4,0,0,4,2,3,3,4,4,4,4,2,1,1,4,0,0,4,4,0,0,4,0,4,4,0,0,0,0,1,1,0,0,2,4,2,2,2,4,4,4,4,4,4,4,1,4,4,4,4,4,4,0,0,4,0,4,0,0,0,0,0,1,3.0,0.0,2.0,0.0,4.0,2.0,4.0,4.0,4,4,4,4,4,4,1,4,3,4,4,4,4,0,0,4,0,3,0,0,0,1,0,4
A031_3,3,3,4,4,0,3,4.0,2,4,4,4,0,3,1,1,1,3,3,3,4,3,3,1,1,3,4,2,0,1,2,1,0,0,0,1,0,3,3,0,0,0,0,0,2,4,4,2,3,4,2,4,4,4,2,1,2,4,3,2,0,0,1,0,3,1,0,0,0,3,1,1,0,0,2.0,2.0,2.0,0.0,2.0,0.0,3.0,3.0,4,4,4,4,4,4,3,4,4,3,0,0,3,0,4,1,0,0,0,3,1,0,0,0
A031_4,3,2,3,3,1,4,1.0,1,3,0,2,0,0,4,1,3,4,4,4,4,1,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,4,1,3,2,3,2,0,1,1,0,3,1,0,1,2,0,0,1,0,0,0,0,0,3,0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,2.0,3,4,4,4,3,2,1,1,4,4,2,0,4,2,4,1,0,0,0,0,0,0,0,0
A032_1,3,3,3,3,3,4,0.0,1,4,0,4,0,1,3,2,2,4,4,3,4,1,0,4,0,3,4,2,4,4,4,0,4,4,2,0,0,0,1,0,0,0,0,0,3,2,2,3,2,4,4,4,4,4,1,4,4,4,4,0,4,4,4,0,2,2,0,1,4,0,1,0,0,0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,1,4,4,4,0,4,4,0,0,4,0,1,0,0,0
A032_2,4,4,1,4,4,4,2.0,1,4,4,4,0,0,2,2,4,4,4,2,4,2,4,4,2,4,0,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,4,2,4,4,0,0,4,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4,4,2,4,1,4,0,4,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0
A032_3,4,4,4,2,4,4,1.0,0,0,2,4,0,4,4,4,0,4,4,0,0,0,2,4,0,4,4,4,0,4,0,0,1,4,0,0,0,0,4,0,0,0,0,0,2,2,1,1,4,4,4,2,4,4,2,4,4,0,4,4,0,4,0,0,0,0,1,4,0,0,0,4,0,0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4,4,4,4,2,4,2,0,4,4,1,4,0,0,1,1,1,4,0,0,0,4,0,0
A032_4,4,4,0,4,4,4,0.0,4,0,4,0,2,4,4,2,0,4,4,3,4,0,1,2,4,4,4,0,4,0,2,0,0,0,4,0,0,4,0,0,4,0,0,0,4,2,1,2,2,4,4,1,4,2,4,4,4,0,4,1,4,1,1,0,4,1,1,4,1,0,4,0,0,1,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4,2,4,3,2,4,4,1,4,3,2,4,1,2,4,3,1,4,1,1,4,1,1,1
A033_1,4,4,4,4,4,4,4.0,1,4,4,0,4,0,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,1,1,1,2,4,4,4,4,4,4,4,4,1,4,2,4,4,4,0,0,0,4,1,2,0,4,0,0,4,1,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,2,4,1,4,4,2,0,2,1,4,2,0,0,2,1,2,4,0
A033_2,4,4,4,4,4,4,4.0,2,1,3,2,3,4,4,4,4,4,4,4,4,2,4,4,4,4,3,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,3,2,4,4,3,4,4,4,0,2,4,3,4,4,0,2,1,1,4,0,0,1,0,0,4,2,0,3.0,3.0,4.0,0.0,4.0,4.0,3.0,4.0,4,4,4,4,4,4,4,3,4,4,4,1,1,1,2,1,0,0,1,0,0,4,2,0
A033_3,4,4,4,4,4,3,2.0,4,4,4,1,4,1,4,2,3,4,4,4,4,1,2,1,1,4,4,4,3,1,2,4,0,3,0,1,4,0,0,0,4,0,1,0,2,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,2,0,0,4,0,1,1,0,0,1,4,0,0,0,0.0,1.0,3.0,0.0,4.0,1.0,2.0,4.0,4,4,4,4,4,2,4,4,4,4,4,3,0,4,1,0,4,0,2,1,4,2,3,1
A033_4,2,4,0,2,1,3,3.0,0,4,1,0,1,4,4,2,2,4,2,2,0,3,3,1,1,0,4,4,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,1,1,1,1,2,4,3,4,4,4,4,4,1,4,1,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,0.0,4,4,2,4,4,4,0,4,2,0,4,4,0,0,1,0,0,0,0,2,0,0,0,0
A034_1,4,4,4,4,4,4,2.0,4,4,4,4,0,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,2,0,2,4,4,2,2,0,4,2,3,2,2,0,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,3,2,4,3,3,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,2,2,2,4,2,3
A034_2,4,4,4,4,4,2,3.0,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,1,2,4,4,3,4,3,4,0,1,4,3,4,4,0,2,2,4,2,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2,3,4,3,2,4,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,4,4,2,2,4,2,3,2
A034_3,4,4,4,4,2,3,3.0,1,2,0,3,3,2,4,2,2,4,4,4,4,3,3,2,2,2,4,2,4,0,1,0,3,2,3,0,1,0,2,2,2,0,0,0,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,2,2,2,4,2,2,2,2,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,2,3,4,4,2,4,2,3
A034_4,4,3,3,3,3,4,4.0,0,3,0,4,0,1,4,3,4,3,3,3,3,4,4,3,4,3,3,2,2,0,0,0,3,1,2,0,0,0,2,1,1,0,0,0,4,3,2,2,3,4,3,3,3,4,3,4,3,4,2,4,3,4,3,3,3,2,1,2,2,2,2,2,1,2,4.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4,4,4,4,4,3,4,4,4,4,4,4,2,2,4,3,2,3,2,2,2,2,2,2
A035_1,3,4,2,4,4,4,4.0,0,0,2,0,1,2,4,4,2,4,4,4,4,2,4,4,4,4,1,3,0,4,0,0,4,2,0,2,0,0,3,1,0,1,0,0,2,3,2,2,2,4,4,4,4,3,4,4,1,4,2,4,2,2,2,3,4,2,3,4,1,2,1,1,4,3,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4,4,4,4,4,4,2,4,3,4,4,2,1,4,3,1,2,3,1,1,1,1,3,1
A035_2,4,2,4,4,4,3,2.0,4,2,4,1,4,3,3,2,3,4,4,4,4,3,2,3,2,4,4,4,4,0,4,1,2,1,2,2,0,0,1,1,1,0,1,0,3,3,2,2,3,4,4,4,4,4,4,4,4,4,3,3,4,2,2,4,1,2,0,2,1,1,1,1,2,1,2.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,4,4,2,4,4,4,4,4,4,3,4,2,2,3,1,4,1,1,1,1,1,1,2,1
A035_3,1,2,3,1,0,2,2.0,3,2,0,1,0,0,2,2,2,4,4,1,2,1,2,1,1,0,1,2,3,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,3,2,2,2,3,4,4,4,4,4,4,3,3,4,4,2,3,2,2,2,3,1,3,1,1,1,1,1,1,3,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4,4,4,4,4,4,2,4,4,1,3,1,1,3,4,1,4,1,1,1,0,0,0,1
A035_4,2,2,1,0,0,3,3.0,1,1,0,0,1,3,3,2,2,2,3,2,0,1,1,2,2,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,4,3,3,4,4,4,4,2,4,4,4,2,2,1,2,2,4,2,1,1,1,1,1,0,0,1,0,0,1,2.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0,3,4,3,4,4,3,2,3,1,3,1,4,1,2,1,1,2,1,1,1,0,1,1,2
A036_1,1,1,3,2,2,2,2.0,0,1,2,2,2,0,2,1,2,2,3,2,2,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,3,3,2,3,3,3,2,1,1,1,1,1,1,1,0,2,2,1,0,0,0,1,2,0,0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,4,4,4,4,4,4,3,2,2,3,1,1,1,0,2,2,1,1,0,0,0,1,0,0
A036_2,1,0,0,0,2,1,0.0,0,0,0,0,1,2,3,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,2,2,2,2,2,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,3,3,2,1,3,3,1,2,2,1,1,3,1,0,0,0,1,0,1,0,0,0,0,1
A036_3,1,1,1,0,3,2,1.0,0,0,3,2,0,0,3,1,1,2,2,2,2,0,0,1,1,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,3,1,2,1,1,2,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,4,3,3,3,1,3,3,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
A036_4,1,1,1,1,3,3,2.0,0,0,0,2,2,0,3,1,2,1,1,1,1,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,1,1,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,2,3,1,3,3,2,1,2,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
